Id,Type,Name,email,age,Income,Spend,Savings,Debt,Education,Credit Rating,IS employed,Is Employable ,HasCriminalBackground,Unemployed For
10784,UNK,SomeName784,shh1@shh.com,73,806807867,32,31,47,Masters,10,F,F,F,52
10785,GOVT,SomeName785,shh1@shh.com,16,487431106,16,31,-10,PhD,0,T,T,T,22
10786,SELF,SomeName786,shh1@shh.com,109,894510000,56,34,-48,High School,8,F,F,F,23
10787,CORP,SomeName787,shh1@shh.com,20,94597778,58,40,17,Undergrad,1,T,T,T,6
10788,UNK,SomeName788,shh1@shh.com,36,96984936,76,37,-39,Graduate,3,F,F,F,29
10789,GOVT,SomeName789,shh1@shh.com,32,306772555,68,60,-25,Masters,6,T,T,T,36
10790,SELF,SomeName790,shh1@shh.com,6,608355695,61,35,39,PhD,5,F,F,F,4
10791,CORP,SomeName791,shh1@shh.com,12,69825874,34,43,43,High School,9,T,T,T,56
10792,UNK,SomeName792,shh1@shh.com,62,260824425,68,45,29,Undergrad,1,F,F,F,40
10793,GOVT,SomeName793,shh1@shh.com,77,84765438,15,38,56,Graduate,8,T,T,T,48
10794,SELF,SomeName794,shh1@shh.com,98,509828379,29,52,2,Masters,2,F,F,F,35
10795,CORP,SomeName795,shh1@shh.com,92,294579793,23,44,40,PhD,9,T,T,T,1
10796,UNK,SomeName796,shh1@shh.com,22,899548135,67,31,35,High School,9,F,F,F,51
10797,GOVT,SomeName797,shh1@shh.com,74,124893872,64,48,-24,Undergrad,8,T,T,T,24
10798,SELF,SomeName798,shh1@shh.com,26,941137132,44,59,57,Graduate,3,F,F,F,51
10799,CORP,SomeName799,shh1@shh.com,88,270023231,70,59,-7,Masters,6,T,T,T,58
10800,UNK,SomeName800,shh1@shh.com,104,336494673,33,53,2,PhD,8,F,F,F,37
10801,GOVT,SomeName801,shh1@shh.com,89,116120455,35,32,58,High School,6,T,T,T,50
10802,SELF,SomeName802,shh1@shh.com,58,386529778,52,47,-45,Undergrad,9,F,F,F,15
10803,CORP,SomeName803,shh1@shh.com,9,404461288,25,47,49,Graduate,8,T,T,T,32
10804,UNK,SomeName804,shh1@shh.com,7,461233117,18,50,17,Masters,9,F,F,F,38
10805,GOVT,SomeName805,shh1@shh.com,18,733488802,16,37,45,PhD,1,T,T,T,46
10806,SELF,SomeName806,shh1@shh.com,23,257566672,40,49,-38,High School,9,F,F,F,6
10807,CORP,SomeName807,shh1@shh.com,17,705036154,40,58,-41,Undergrad,7,T,T,T,56
10808,UNK,SomeName808,shh1@shh.com,9,387087007,52,59,30,Graduate,7,F,F,F,6
10809,GOVT,SomeName809,shh1@shh.com,60,800475263,80,42,51,Masters,8,T,T,T,37
10810,SELF,SomeName810,shh1@shh.com,91,474570937,77,41,38,PhD,8,F,F,F,49
10811,CORP,SomeName811,shh1@shh.com,25,720392444,70,30,20,High School,2,T,T,T,58
10812,UNK,SomeName812,shh1@shh.com,82,941108306,30,36,-47,Undergrad,4,F,F,F,37
10813,GOVT,SomeName813,shh1@shh.com,43,669706800,15,34,-16,Graduate,3,T,T,T,10
10814,SELF,SomeName814,shh1@shh.com,51,89269250,16,39,-30,Masters,2,F,F,F,39
10815,CORP,SomeName815,shh1@shh.com,57,469656556,68,30,58,PhD,4,T,T,T,55
10816,UNK,SomeName816,shh1@shh.com,63,623367824,61,40,-6,High School,0,F,F,F,34
10817,GOVT,SomeName817,shh1@shh.com,41,451252945,28,43,0,Undergrad,4,T,T,T,58
10818,SELF,SomeName818,shh1@shh.com,15,979527909,42,40,56,Graduate,7,F,F,F,1
10819,CORP,SomeName819,shh1@shh.com,57,323957184,17,42,26,Masters,10,T,T,T,14
10820,UNK,SomeName820,shh1@shh.com,96,991247450,36,45,30,PhD,6,F,F,F,10
10821,GOVT,SomeName821,shh1@shh.com,21,222545431,70,34,-6,High School,0,T,T,T,5
10822,SELF,SomeName822,shh1@shh.com,32,601411521,28,36,-31,Undergrad,3,F,F,F,51
10823,CORP,SomeName823,shh1@shh.com,104,633466243,62,49,-1,Graduate,5,T,T,T,2
10824,UNK,SomeName824,shh1@shh.com,50,89645572,42,52,25,Masters,9,F,F,F,43
10825,GOVT,SomeName825,shh1@shh.com,78,929063991,80,54,34,PhD,3,T,T,T,3
10826,SELF,SomeName826,shh1@shh.com,38,777980529,79,51,-38,High School,2,F,F,F,28
10827,CORP,SomeName827,shh1@shh.com,98,508708762,74,35,-18,Undergrad,8,T,T,T,58
10828,UNK,SomeName828,shh1@shh.com,78,320442209,66,57,38,Graduate,2,F,F,F,30
10829,GOVT,SomeName829,shh1@shh.com,102,390928106,20,44,-16,Masters,0,T,T,T,37
10830,SELF,SomeName830,shh1@shh.com,1,244213693,18,34,30,PhD,5,F,F,F,10
10831,CORP,SomeName831,shh1@shh.com,105,307900053,21,31,-18,High School,1,T,T,T,57
10832,UNK,SomeName832,shh1@shh.com,29,910168608,57,48,26,Undergrad,9,F,F,F,3
10833,GOVT,SomeName833,shh1@shh.com,70,858440035,17,37,21,Graduate,6,T,T,T,21
10834,SELF,SomeName834,shh1@shh.com,67,576068722,59,59,44,Masters,3,F,F,F,19
10835,CORP,SomeName835,shh1@shh.com,63,344887505,51,37,39,PhD,2,T,T,T,41
10836,UNK,SomeName836,shh1@shh.com,105,390135938,43,33,-8,High School,6,F,F,F,52
10837,GOVT,SomeName837,shh1@shh.com,38,855583091,34,44,37,Undergrad,5,T,T,T,13
10838,SELF,SomeName838,shh1@shh.com,43,877272344,24,46,0,Graduate,6,F,F,F,19
10839,CORP,SomeName839,shh1@shh.com,108,243003749,62,56,-5,Masters,8,T,T,T,59
10840,UNK,SomeName840,shh1@shh.com,8,373932225,62,59,56,PhD,1,F,F,F,9
10841,GOVT,SomeName841,shh1@shh.com,49,288696688,65,58,-32,High School,2,T,T,T,60
10842,SELF,SomeName842,shh1@shh.com,42,247049703,56,36,56,Undergrad,8,F,F,F,48
10843,CORP,SomeName843,shh1@shh.com,103,672834935,63,34,23,Graduate,7,T,T,T,24
10844,UNK,SomeName844,shh1@shh.com,12,904821223,20,44,27,Masters,5,F,F,F,9
10845,GOVT,SomeName845,shh1@shh.com,16,442153388,74,53,19,PhD,9,T,T,T,14
10846,SELF,SomeName846,shh1@shh.com,25,407686552,42,58,10,High School,2,F,F,F,7
10847,CORP,SomeName847,shh1@shh.com,61,118749536,65,37,-15,Undergrad,6,T,T,T,20
10848,UNK,SomeName848,shh1@shh.com,26,46781386,34,45,-40,Graduate,1,F,F,F,30
10849,GOVT,SomeName849,shh1@shh.com,49,779683542,29,48,34,Masters,5,T,T,T,55
10850,SELF,SomeName850,shh1@shh.com,78,992180212,51,31,-49,PhD,8,F,F,F,21
10851,CORP,SomeName851,shh1@shh.com,26,547560586,19,31,1,High School,5,T,T,T,24
10852,UNK,SomeName852,shh1@shh.com,40,700855600,71,38,59,Undergrad,5,F,F,F,20
10853,GOVT,SomeName853,shh1@shh.com,41,291617390,79,46,-18,Graduate,10,T,T,T,21
10854,SELF,SomeName854,shh1@shh.com,18,26961656,62,52,49,Masters,9,F,F,F,3
10855,CORP,SomeName855,shh1@shh.com,101,434638298,37,54,12,PhD,2,T,T,T,38
10856,UNK,SomeName856,shh1@shh.com,82,266860515,20,34,-49,High School,0,F,F,F,40
10857,GOVT,SomeName857,shh1@shh.com,99,54228445,78,46,-10,Undergrad,4,T,T,T,16
10858,SELF,SomeName858,shh1@shh.com,52,45727577,16,48,29,Graduate,8,F,F,F,34
10859,CORP,SomeName859,shh1@shh.com,77,270927109,25,56,39,Masters,6,T,T,T,20
10860,UNK,SomeName860,shh1@shh.com,12,167826673,41,36,-24,PhD,1,F,F,F,27
10861,GOVT,SomeName861,shh1@shh.com,23,572855761,43,43,53,High School,5,T,T,T,44
10862,SELF,SomeName862,shh1@shh.com,94,615694550,38,42,15,Undergrad,1,F,F,F,43
10863,CORP,SomeName863,shh1@shh.com,87,481245298,28,45,28,Graduate,8,T,T,T,53
10864,UNK,SomeName864,shh1@shh.com,8,522698436,17,56,-19,Masters,4,F,F,F,21
10865,GOVT,SomeName865,shh1@shh.com,29,356976812,41,57,-23,PhD,2,T,T,T,53
10866,SELF,SomeName866,shh1@shh.com,25,17721149,16,46,-32,High School,1,F,F,F,59
10867,CORP,SomeName867,shh1@shh.com,102,579237374,36,48,30,Undergrad,10,T,T,T,2
10868,UNK,SomeName868,shh1@shh.com,22,235843892,40,60,27,Graduate,8,F,F,F,40
10869,GOVT,SomeName869,shh1@shh.com,76,401383955,48,60,-16,Masters,0,T,T,T,36
10870,SELF,SomeName870,shh1@shh.com,27,721311578,24,34,5,PhD,1,F,F,F,13
10871,CORP,SomeName871,shh1@shh.com,11,341367842,38,32,9,High School,9,T,T,T,3
10872,UNK,SomeName872,shh1@shh.com,14,956554064,28,49,-3,Undergrad,5,F,F,F,38
10873,GOVT,SomeName873,shh1@shh.com,100,736010752,25,32,-37,Graduate,3,T,T,T,58
10874,SELF,SomeName874,shh1@shh.com,30,756065477,28,35,-2,Masters,0,F,F,F,58
10875,CORP,SomeName875,shh1@shh.com,8,14066267,26,40,-16,PhD,0,T,T,T,39
10876,UNK,SomeName876,shh1@shh.com,2,223697928,54,36,54,High School,3,F,F,F,30
10877,GOVT,SomeName877,shh1@shh.com,97,55089428,19,32,-36,Undergrad,6,T,T,T,15
10878,SELF,SomeName878,shh1@shh.com,40,196892898,69,52,-44,Graduate,5,F,F,F,24
10879,CORP,SomeName879,shh1@shh.com,29,539223040,68,53,-19,Masters,4,T,T,T,10
10880,UNK,SomeName880,shh1@shh.com,79,616112310,63,54,9,PhD,0,F,F,F,28
10881,GOVT,SomeName881,shh1@shh.com,110,418424532,74,52,-21,High School,5,T,T,T,36
10882,SELF,SomeName882,shh1@shh.com,109,152851576,64,55,28,Undergrad,10,F,F,F,20
10883,CORP,SomeName883,shh1@shh.com,7,914143061,44,30,52,Graduate,6,T,T,T,32
10884,UNK,SomeName884,shh1@shh.com,23,81943314,15,31,4,Masters,9,F,F,F,23
10885,GOVT,SomeName885,shh1@shh.com,98,923358159,43,54,27,PhD,4,T,T,T,49
10886,SELF,SomeName886,shh1@shh.com,54,851899445,38,31,-35,High School,9,F,F,F,58
10887,CORP,SomeName887,shh1@shh.com,16,277034502,73,51,51,Undergrad,5,T,T,T,45
10888,UNK,SomeName888,shh1@shh.com,77,94104199,51,37,-15,Graduate,8,F,F,F,31
10889,GOVT,SomeName889,shh1@shh.com,96,90952173,23,30,17,Masters,1,T,T,T,23
10890,SELF,SomeName890,shh1@shh.com,99,848286936,42,39,-11,PhD,0,F,F,F,35
10891,CORP,SomeName891,shh1@shh.com,31,736201924,57,44,-36,High School,10,T,T,T,49
10892,UNK,SomeName892,shh1@shh.com,49,598367533,63,32,-33,Undergrad,0,F,F,F,35
10893,GOVT,SomeName893,shh1@shh.com,61,972078696,59,59,51,Graduate,8,T,T,T,22
10894,SELF,SomeName894,shh1@shh.com,71,445527033,27,32,-40,Masters,6,F,F,F,7
10895,CORP,SomeName895,shh1@shh.com,10,994567762,39,35,-32,PhD,2,T,T,T,35
10896,UNK,SomeName896,shh1@shh.com,71,102227539,74,59,24,High School,1,F,F,F,58
10897,GOVT,SomeName897,shh1@shh.com,104,210862057,60,31,18,Undergrad,10,T,T,T,24
10898,SELF,SomeName898,shh1@shh.com,95,302439748,74,60,-5,Graduate,4,F,F,F,43
10899,CORP,SomeName899,shh1@shh.com,48,780917389,48,50,50,Masters,1,T,T,T,58
10900,UNK,SomeName900,shh1@shh.com,28,59542251,20,56,53,PhD,10,F,F,F,53
10901,GOVT,SomeName901,shh1@shh.com,83,85416678,66,38,30,High School,4,T,T,T,39
10902,SELF,SomeName902,shh1@shh.com,86,78453976,17,52,39,Undergrad,7,F,F,F,11
10903,CORP,SomeName903,shh1@shh.com,36,290888852,28,42,-39,Graduate,7,T,T,T,44
10904,UNK,SomeName904,shh1@shh.com,105,98169867,58,60,33,Masters,2,F,F,F,25
10905,GOVT,SomeName905,shh1@shh.com,61,355554676,59,53,-12,PhD,2,T,T,T,2
10906,SELF,SomeName906,shh1@shh.com,47,20378840,67,60,22,High School,9,F,F,F,22
10907,CORP,SomeName907,shh1@shh.com,7,918834455,70,59,41,Undergrad,8,T,T,T,22
10908,UNK,SomeName908,shh1@shh.com,97,484705072,77,56,-41,Graduate,1,F,F,F,17
10909,GOVT,SomeName909,shh1@shh.com,13,337866084,45,60,36,Masters,4,T,T,T,51
10910,SELF,SomeName910,shh1@shh.com,108,105852983,48,38,25,PhD,7,F,F,F,12
10911,CORP,SomeName911,shh1@shh.com,30,317808824,45,32,-19,High School,2,T,T,T,31
10912,UNK,SomeName912,shh1@shh.com,80,693057427,15,58,-17,Undergrad,3,F,F,F,5
10913,GOVT,SomeName913,shh1@shh.com,17,308960029,45,60,44,Graduate,2,T,T,T,43
10914,SELF,SomeName914,shh1@shh.com,10,291921190,67,45,-19,Masters,5,F,F,F,23
10915,CORP,SomeName915,shh1@shh.com,4,543765191,20,57,-19,PhD,8,T,T,T,10
10916,UNK,SomeName916,shh1@shh.com,41,710594498,80,45,16,High School,10,F,F,F,44
10917,GOVT,SomeName917,shh1@shh.com,80,623823273,30,59,-30,Undergrad,3,T,T,T,51
10918,SELF,SomeName918,shh1@shh.com,49,359143771,41,54,55,Graduate,7,F,F,F,5
10919,CORP,SomeName919,shh1@shh.com,21,241514198,26,47,-41,Masters,8,T,T,T,36
10920,UNK,SomeName920,shh1@shh.com,47,769795465,47,48,12,PhD,5,F,F,F,50
10921,GOVT,SomeName921,shh1@shh.com,70,349184603,55,43,50,High School,9,T,T,T,30
10922,SELF,SomeName922,shh1@shh.com,98,800766301,40,46,-28,Undergrad,9,F,F,F,44
10923,CORP,SomeName923,shh1@shh.com,1,480758362,20,54,54,Graduate,7,T,T,T,58
10924,UNK,SomeName924,shh1@shh.com,62,336817637,63,39,-40,Masters,3,F,F,F,26
10925,GOVT,SomeName925,shh1@shh.com,8,801223499,24,55,-28,PhD,6,T,T,T,45
10926,SELF,SomeName926,shh1@shh.com,107,22702715,78,30,-27,High School,9,F,F,F,21
10927,CORP,SomeName927,shh1@shh.com,44,446046939,15,35,23,Undergrad,1,T,T,T,9
10928,UNK,SomeName928,shh1@shh.com,39,982952176,16,43,-36,Graduate,2,F,F,F,18
10929,GOVT,SomeName929,shh1@shh.com,31,893938569,39,56,22,Masters,9,T,T,T,54
10930,SELF,SomeName930,shh1@shh.com,17,481710524,58,51,-18,PhD,8,F,F,F,27
10931,CORP,SomeName931,shh1@shh.com,30,181743394,19,32,23,High School,1,T,T,T,18
10932,UNK,SomeName932,shh1@shh.com,31,83573240,35,34,-30,Undergrad,8,F,F,F,1
10933,GOVT,SomeName933,shh1@shh.com,44,508989943,77,47,26,Graduate,2,T,T,T,35
10934,SELF,SomeName934,shh1@shh.com,60,424779185,38,48,26,Masters,5,F,F,F,51
10935,CORP,SomeName935,shh1@shh.com,67,461518585,40,54,57,PhD,3,T,T,T,31
10936,UNK,SomeName936,shh1@shh.com,60,56325274,72,35,-20,High School,3,F,F,F,17
10937,GOVT,SomeName937,shh1@shh.com,77,361914787,52,57,46,Undergrad,4,T,T,T,28
10938,SELF,SomeName938,shh1@shh.com,69,144369280,47,49,26,Graduate,2,F,F,F,36
10939,CORP,SomeName939,shh1@shh.com,109,480351131,53,34,59,Masters,10,T,T,T,22
10940,UNK,SomeName940,shh1@shh.com,73,713985932,33,51,-8,PhD,5,F,F,F,2
10941,GOVT,SomeName941,shh1@shh.com,32,815452159,67,30,8,High School,8,T,T,T,10
10942,SELF,SomeName942,shh1@shh.com,25,227696704,53,56,37,Undergrad,8,F,F,F,38
10943,CORP,SomeName943,shh1@shh.com,22,446697649,67,37,-20,Graduate,3,T,T,T,23
10944,UNK,SomeName944,shh1@shh.com,61,746588392,23,49,-7,Masters,10,F,F,F,29
10945,GOVT,SomeName945,shh1@shh.com,66,545433927,80,44,58,PhD,6,T,T,T,22
10946,SELF,SomeName946,shh1@shh.com,98,710120823,68,48,34,High School,0,F,F,F,44
10947,CORP,SomeName947,shh1@shh.com,75,139271326,36,47,-8,Undergrad,2,T,T,T,49
10948,UNK,SomeName948,shh1@shh.com,92,341114078,57,34,-18,Graduate,2,F,F,F,54
10949,GOVT,SomeName949,shh1@shh.com,80,478918594,24,59,-18,Masters,1,T,T,T,23
10950,SELF,SomeName950,shh1@shh.com,64,980294347,37,43,1,PhD,2,F,F,F,4
10951,CORP,SomeName951,shh1@shh.com,30,133531682,60,43,52,High School,0,T,T,T,38
10952,UNK,SomeName952,shh1@shh.com,74,310425079,57,54,-9,Undergrad,9,F,F,F,46
10953,GOVT,SomeName953,shh1@shh.com,59,441160018,42,33,59,Graduate,6,T,T,T,23
10954,SELF,SomeName954,shh1@shh.com,93,206037719,50,54,-18,Masters,4,F,F,F,22
10955,CORP,SomeName955,shh1@shh.com,36,144604751,46,56,36,PhD,10,T,T,T,9
10956,UNK,SomeName956,shh1@shh.com,35,26190318,32,49,-19,High School,4,F,F,F,9
10957,GOVT,SomeName957,shh1@shh.com,4,438052637,34,41,36,Undergrad,1,T,T,T,58
10958,SELF,SomeName958,shh1@shh.com,51,459925145,36,42,45,Graduate,6,F,F,F,30
10959,CORP,SomeName959,shh1@shh.com,83,620706931,32,41,47,Masters,2,T,T,T,33
10960,UNK,SomeName960,shh1@shh.com,32,599346540,72,38,-11,PhD,2,F,F,F,25
10961,GOVT,SomeName961,shh1@shh.com,7,395028409,41,43,-9,High School,8,T,T,T,46
10962,SELF,SomeName962,shh1@shh.com,10,743566137,41,33,0,Undergrad,10,F,F,F,55
10963,CORP,SomeName963,shh1@shh.com,80,365674619,35,38,-31,Graduate,7,T,T,T,45
10964,UNK,SomeName964,shh1@shh.com,88,506266677,38,60,-49,Masters,6,F,F,F,15
10965,GOVT,SomeName965,shh1@shh.com,13,700334309,75,53,16,PhD,9,T,T,T,22
10966,SELF,SomeName966,shh1@shh.com,108,554456766,36,41,8,High School,1,F,F,F,6
10967,CORP,SomeName967,shh1@shh.com,59,20410960,71,55,-7,Undergrad,6,T,T,T,46
10968,UNK,SomeName968,shh1@shh.com,92,466517386,75,45,-39,Graduate,1,F,F,F,11
10969,GOVT,SomeName969,shh1@shh.com,72,773894374,38,56,59,Masters,1,T,T,T,7
10970,SELF,SomeName970,shh1@shh.com,30,637721222,51,38,2,PhD,3,F,F,F,57
10971,CORP,SomeName971,shh1@shh.com,86,740318660,61,48,47,High School,8,T,T,T,59
10972,UNK,SomeName972,shh1@shh.com,34,51639907,23,42,-26,Undergrad,10,F,F,F,7
10973,GOVT,SomeName973,shh1@shh.com,74,745247443,23,54,-42,Graduate,0,T,T,T,48
10974,SELF,SomeName974,shh1@shh.com,50,559195852,59,30,-35,Masters,5,F,F,F,19
10975,CORP,SomeName975,shh1@shh.com,36,292898407,21,32,23,PhD,0,T,T,T,53
10976,UNK,SomeName976,shh1@shh.com,95,914337767,36,52,28,High School,0,F,F,F,23
10977,GOVT,SomeName977,shh1@shh.com,14,733121793,37,51,-20,Undergrad,4,T,T,T,25
10978,SELF,SomeName978,shh1@shh.com,78,286170144,36,50,-48,Graduate,5,F,F,F,28
10979,CORP,SomeName979,shh1@shh.com,28,263413290,32,37,32,Masters,8,T,T,T,56
10980,UNK,SomeName980,shh1@shh.com,77,297846569,74,55,-23,PhD,0,F,F,F,52
10981,GOVT,SomeName981,shh1@shh.com,2,131565657,34,38,15,High School,8,T,T,T,11
10982,SELF,SomeName982,shh1@shh.com,56,521545093,32,48,-40,Undergrad,7,F,F,F,48
10983,CORP,SomeName983,shh1@shh.com,41,156147251,67,58,-41,Graduate,1,T,T,T,13
10984,UNK,SomeName984,shh1@shh.com,77,325168892,75,49,-7,Masters,5,F,F,F,32
10985,GOVT,SomeName985,shh1@shh.com,49,706016290,23,47,-26,PhD,0,T,T,T,30
10986,SELF,SomeName986,shh1@shh.com,38,668956188,65,30,38,High School,0,F,F,F,34
10987,CORP,SomeName987,shh1@shh.com,23,198936356,58,60,41,Undergrad,0,T,T,T,17
10988,UNK,SomeName988,shh1@shh.com,103,336498888,55,46,-39,Graduate,7,F,F,F,43
10989,GOVT,SomeName989,shh1@shh.com,50,422970674,26,55,30,Masters,5,T,T,T,17
10990,SELF,SomeName990,shh1@shh.com,34,558705285,42,50,31,PhD,7,F,F,F,31
10991,CORP,SomeName991,shh1@shh.com,63,247625055,30,30,40,High School,2,T,T,T,6
10992,UNK,SomeName992,shh1@shh.com,52,469547399,33,59,-33,Undergrad,4,F,F,F,4
10993,GOVT,SomeName993,shh1@shh.com,19,16089292,38,56,59,Graduate,7,T,T,T,51
10994,SELF,SomeName994,shh1@shh.com,3,465101636,26,50,38,Masters,0,F,F,F,50
10995,CORP,SomeName995,shh1@shh.com,40,217858672,25,31,-34,PhD,10,T,T,T,56
10996,UNK,SomeName996,shh1@shh.com,22,146170141,45,53,29,High School,10,F,F,F,7
10997,GOVT,SomeName997,shh1@shh.com,63,914278957,28,44,5,Undergrad,2,T,T,T,3
10998,SELF,SomeName998,shh1@shh.com,1,672663733,47,33,-38,Graduate,10,F,F,F,41
10999,CORP,SomeName999,shh1@shh.com,74,203940546,74,48,-21,Masters,9,T,T,T,31
11000,UNK,SomeName1000,shh1@shh.com,62,582488046,74,30,13,PhD,8,F,F,F,39
11001,GOVT,SomeName1001,shh1@shh.com,84,477173343,17,36,-7,High School,9,T,T,T,35
11002,SELF,SomeName1002,shh1@shh.com,38,403014856,31,48,-17,Undergrad,3,F,F,F,36
11003,CORP,SomeName1003,shh1@shh.com,81,318056222,41,55,-17,Graduate,6,T,T,T,53
11004,UNK,SomeName1004,shh1@shh.com,33,226646247,41,38,-32,Masters,2,F,F,F,24
11005,GOVT,SomeName1005,shh1@shh.com,58,399308583,71,40,-21,PhD,3,T,T,T,15
11006,SELF,SomeName1006,shh1@shh.com,42,283273413,28,52,22,High School,1,F,F,F,9
11007,CORP,SomeName1007,shh1@shh.com,99,201393579,40,41,-17,Undergrad,7,T,T,T,49
11008,UNK,SomeName1008,shh1@shh.com,37,635256608,33,36,30,Graduate,5,F,F,F,12
11009,GOVT,SomeName1009,shh1@shh.com,34,345060197,17,35,-27,Masters,8,T,T,T,37
11010,SELF,SomeName1010,shh1@shh.com,3,557443760,28,60,39,PhD,5,F,F,F,2
11011,CORP,SomeName1011,shh1@shh.com,51,238782495,15,38,47,High School,9,T,T,T,39
11012,UNK,SomeName1012,shh1@shh.com,63,414082247,78,42,21,Undergrad,9,F,F,F,37
11013,GOVT,SomeName1013,shh1@shh.com,75,459602561,52,56,-35,Graduate,8,T,T,T,24
11014,SELF,SomeName1014,shh1@shh.com,71,226633335,21,46,20,Masters,5,F,F,F,7
11015,CORP,SomeName1015,shh1@shh.com,2,115855559,53,34,-13,PhD,5,T,T,T,40
11016,UNK,SomeName1016,shh1@shh.com,6,781630824,43,47,-3,High School,4,F,F,F,8
11017,GOVT,SomeName1017,shh1@shh.com,65,515733279,57,54,-11,Undergrad,10,T,T,T,39
11018,SELF,SomeName1018,shh1@shh.com,82,635412809,54,52,39,Graduate,5,F,F,F,39
11019,CORP,SomeName1019,shh1@shh.com,49,298959003,36,48,25,Masters,0,T,T,T,22
11020,UNK,SomeName1020,shh1@shh.com,29,717038038,77,56,-41,PhD,6,F,F,F,25
11021,GOVT,SomeName1021,shh1@shh.com,61,840713673,48,54,-42,High School,6,T,T,T,21
11022,SELF,SomeName1022,shh1@shh.com,82,34671479,39,45,-43,Undergrad,0,F,F,F,28
11023,CORP,SomeName1023,shh1@shh.com,89,939353010,45,51,37,Graduate,8,T,T,T,22
11024,UNK,SomeName1024,shh1@shh.com,48,373327844,52,40,56,Masters,3,F,F,F,8
11025,GOVT,SomeName1025,shh1@shh.com,16,235604283,34,41,4,PhD,8,T,T,T,11
11026,SELF,SomeName1026,shh1@shh.com,59,671864303,29,37,-40,High School,4,F,F,F,50
11027,CORP,SomeName1027,shh1@shh.com,60,674256409,37,31,-24,Undergrad,0,T,T,T,1
11028,UNK,SomeName1028,shh1@shh.com,83,476114971,71,37,-31,Graduate,0,F,F,F,18
11029,GOVT,SomeName1029,shh1@shh.com,81,688575056,41,35,53,Masters,10,T,T,T,1
11030,SELF,SomeName1030,shh1@shh.com,54,771079131,58,45,39,PhD,3,F,F,F,41
11031,CORP,SomeName1031,shh1@shh.com,89,686947357,35,42,-11,High School,10,T,T,T,52
11032,UNK,SomeName1032,shh1@shh.com,31,37227434,79,42,-22,Undergrad,4,F,F,F,55
11033,GOVT,SomeName1033,shh1@shh.com,48,595388457,55,47,-15,Graduate,0,T,T,T,14
11034,SELF,SomeName1034,shh1@shh.com,105,435564605,61,36,24,Masters,10,F,F,F,6
11035,CORP,SomeName1035,shh1@shh.com,32,955039769,56,51,9,PhD,10,T,T,T,22
11036,UNK,SomeName1036,shh1@shh.com,54,347879979,75,35,11,High School,2,F,F,F,14
11037,GOVT,SomeName1037,shh1@shh.com,73,215893095,49,42,50,Undergrad,1,T,T,T,5
11038,SELF,SomeName1038,shh1@shh.com,76,305188560,66,31,26,Graduate,5,F,F,F,34
11039,CORP,SomeName1039,shh1@shh.com,10,9026986,23,43,0,Masters,2,T,T,T,2
11040,UNK,SomeName1040,shh1@shh.com,50,745072395,17,57,44,PhD,2,F,F,F,11
11041,GOVT,SomeName1041,shh1@shh.com,73,561603365,46,54,1,High School,1,T,T,T,46
11042,SELF,SomeName1042,shh1@shh.com,21,47918515,22,40,-23,Undergrad,9,F,F,F,55
11043,CORP,SomeName1043,shh1@shh.com,4,512852455,71,52,-26,Graduate,8,T,T,T,46
11044,UNK,SomeName1044,shh1@shh.com,87,665842221,45,59,-22,Masters,1,F,F,F,28
11045,GOVT,SomeName1045,shh1@shh.com,49,208737238,23,37,9,PhD,9,T,T,T,29
11046,SELF,SomeName1046,shh1@shh.com,22,109830072,61,51,-45,High School,9,F,F,F,55
11047,CORP,SomeName1047,shh1@shh.com,53,450565516,77,46,22,Undergrad,0,T,T,T,39
11048,UNK,SomeName1048,shh1@shh.com,21,357017462,61,32,-17,Graduate,2,F,F,F,7
11049,GOVT,SomeName1049,shh1@shh.com,26,230135337,65,30,20,Masters,9,T,T,T,31
11050,SELF,SomeName1050,shh1@shh.com,106,832386651,39,47,31,PhD,10,F,F,F,11
11051,CORP,SomeName1051,shh1@shh.com,25,585116585,23,55,46,High School,0,T,T,T,49
11052,UNK,SomeName1052,shh1@shh.com,42,846564987,28,59,60,Undergrad,8,F,F,F,20
11053,GOVT,SomeName1053,shh1@shh.com,98,347883811,70,31,-32,Graduate,5,T,T,T,6
11054,SELF,SomeName1054,shh1@shh.com,37,462676137,80,53,18,Masters,4,F,F,F,18
11055,CORP,SomeName1055,shh1@shh.com,25,69288131,30,50,-33,PhD,8,T,T,T,35
11056,UNK,SomeName1056,shh1@shh.com,8,78604267,21,39,55,High School,3,F,F,F,11
11057,GOVT,SomeName1057,shh1@shh.com,95,71596540,21,33,-38,Undergrad,4,T,T,T,44
11058,SELF,SomeName1058,shh1@shh.com,15,464871160,38,44,-47,Graduate,7,F,F,F,45
11059,CORP,SomeName1059,shh1@shh.com,100,258727591,60,48,45,Masters,8,T,T,T,49
11060,UNK,SomeName1060,shh1@shh.com,12,639782886,69,47,22,PhD,7,F,F,F,21
11061,GOVT,SomeName1061,shh1@shh.com,99,572766542,46,60,-16,High School,3,T,T,T,56
11062,SELF,SomeName1062,shh1@shh.com,83,981269091,76,55,-37,Undergrad,7,F,F,F,42
11063,CORP,SomeName1063,shh1@shh.com,24,231816013,68,56,8,Graduate,1,T,T,T,26
11064,UNK,SomeName1064,shh1@shh.com,13,980561879,72,59,-13,Masters,0,F,F,F,38
11065,GOVT,SomeName1065,shh1@shh.com,102,740714164,55,53,-14,PhD,2,T,T,T,28
